Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
106.4 TOP FM	Fürstenfeldbruck	Deutschland	128	14.10.16	http://mp3.topfm.c.nmdn.net/ps-topfm/livestream.mp3
14482 Babelsberg Hitradio	Potsdam	Deutschland	192	3.10.16	http://46.163.75.84:8000
1LIVE	Köln	Deutschland	128	9.10.16	http://1live.akacast.akamaistream.net/7/706/119434/v1/gnl.akacast.akamaistream.net/1live
1LIVE diggi	Köln	Deutschland	128	9.10.16	http://1live-diggi.akacast.akamaistream.net/7/965/119435/v1/gnl.akacast.akamaistream.net/1live-diggi
1LIVE Plan B	Köln	Deutschland	128	9.10.16	http://1live-plan-b.akacast.akamaistream.net/7/905/119448/v1/gnl.akacast.akamaistream.net/1live-plan-b
1LIVE DJ Session	Köln	Deutschland	128	9.10.16	http://1live-dj-session.akacast.akamaistream.net/7/679/119452/v1/gnl.akacast.akamaistream.net/1live-dj-session
1LIVE Neu für den Sektor	Köln	Deutschland	128	9.10.16	http://1live-sektor.akacast.akamaistream.net/7/551/119449/v1/gnl.akacast.akamaistream.net/1live-sektor
1LIVE HipHop	Köln	Deutschland	128	9.10.16	http://1live-hiphop.akacast.akamaistream.net/7/63/119451/v1/gnl.akacast.akamaistream.net/1live-hiphop
1LIVE Special	Köln	Deutschland	128	9.10.16	http://1live-specials.akacast.akamaistream.net/7/59/119450/v1/gnl.akacast.akamaistream.net/1live-specials
1LIVE Fiehe	Köln	Deutschland	128	9.10.16	http://1live-fiehe.akacast.akamaistream.net/7/201/119447/v1/gnl.akacast.akamaistream.net/1live-fiehe
80er	-	Deutschland	0		http://dude.mp3streams.net/80ergvl
89.0 RTL	Halle (Saale)	Deutschland	0		http://62.75.176.45/rtl-high
90er	Hamburg	Deutschland	0		http://dude.mp3streams.net/90er
95.5 Charivari	München	Deutschland	0		http://955charivari.radio.de:8000/relay-2318
AgF-Radio	Viernheim	Deutschland	0		http://stream2006.de:9000
Alpenmelodie	Stein	Deutschland	0		http://212.123.103.171
alster radio 106!8 rock 'n pop	Hamburg	Deutschland	96	03.10.16	http://live96.106acht.de
Angelsfox-Radio	Wesel Büderich	Deutschland	0		http://80.237.210.71
Antenne Bayern	München	Deutschland	128	03.10.16	http://mp3.webradio.antenne.de:80
Antenne Bayern - 80er Kulthits	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/80er-kulthits
Antenne Bayern - Black Beatz	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/black-beatz
Antenne Bayern - Chillout	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/chillout
Antenne Bayern - Classic Rock Live	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/classic-rock-live
Antenne Bayern - Hits für Kids	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/hits-fuer-kids
Antenne Bayern - Lovesongs	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/lovesongs
Antenne Bayern - Oldies	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/oldies-but-goldies
Antenne Bayern - Schlager	München	Deutschland	96	03.10.16	http://channels.webradio.antenne.de/das-schlager-karussell
Antenne Bayern - Top 40	München	Deutschland	128	03.10.16	http://channels.webradio.antenne.de/top-40
Antenne Brandenburg	Berlin	Deutschland	48	03.10.16	http://www.antennebrandenburg.de/livemp3
Antenne Mainz	Mainz	Deutschland	64	03.10.16	http://rs1.radiostreamer.com:8020/
Antenne Münster	Münster	Deutschland	128	03.10.16	http://stream.antennemuenster.de:8000/am128k
Antenne Südtirol	Lana	Italien	128	03.10.16	http://server2.digital-webstream.de:23780
ANTENNE VORARLBERG Partymix	Schwarzach	Österreich	0		http://194.208.21.29:8010
apollo radio)))	Chemnitz	Deutschland	0		http://217.68.161.222:6300
Apres Ski	Hamburg	Österreich	0		http://dude.mp3streams.net/apresski
Arabella Austropop	München	Deutschland	0		http://stream02.arabella-de.vss.kapper.net:8000
Arabella Classic-Rock	München	Deutschland	0		http://stream05.arabella-de.vss.kapper.net:8000
Arabella Herzflimmern	München	Deutschland	0		http://stream03.arabella-de.vss.kapper.net:8000
Arabella Kultschlager	München	Deutschland	0		http://stream04.arabella-de.vss.kapper.net:8000
Arabella Party	München	Deutschland	0		http://stream06.arabella-de.vss.kapper.net:8000
